case_id,detective_name,rank,season,episode,crime_type,borough,case_status,arrests_made,cases_solved,hours_worked,annual_salary_usd,perpetrator_age,nine_nine_quote,date_clean
99-0001,"Terry Jeffords",Sergeant,7,S07E17,FRAUD,BROOKLYN,CLOSED,34,79,45.3,69201,70,,2015-01-04
99-0002,"Norm Scully",Detective,6,S06E18,BURGLARY,BRONX,"COLD CASE",33,77,23.1,117418,43,Noice,NULL
99-0003,"Jake Peralta",Detective,1,S01E13,ASSAULT,QUEENS,OPEN,33,100,58.4,NULL,59,,2021-01-21
99-0005,"Terry Jeffords",Sergeant,4,S04E21,ROBBERY,MANHATTAN,ONGOING,6,92,65.8,101636,43,"Title of your sex tape",2017-09-21
99-0006,NULL,Detective,3,S03E10,STALKING,QUEENS,"COLD CASE",43,79,46.4,113161,57,"Halloween Heist Champion",2015-03-03
99-0007,NULL,Detective,1,S01E17,BURGLARY,BROOKLYN,"UNDER INVESTIGATION",43,21,68.3,NULL,55,"The squad has arrived",2015-04-01
99-0008,"Raymond Holt",Captain,7,S07E13,BURGLARY,MANHATTAN,"COLD CASE",16,16,74.1,NULL,60,,2018-03-13
99-0010,"Raymond Holt",Captain,5,S05E09,BURGLARY,BRONX,CLOSED,4,25,30.4,117911,22,,2013-12-21
99-0011,"Terry Jeffords",Sergeant,6,S06E21,ARSON,QUEENS,DISMISSED,19,14,58.6,115935,73,"Title of your sex tape",2015-08-23
99-0012,"Amy Santiago",Detective,1,S01E10,"DRUG  POSSESSION","STATEN  ISLAND","COLD CASE",8,36,37.7,NULL,25,Nine-Nine!,2020-06-12
99-0013,"Jake Peralta",Detective,7,S07E14,MURDER,QUEENS,CLOSED,49,67,23.3,72026,21,"The squad has arrived",2015-04-08
99-0014,NULL,Detective,1,S01E17,VANDALISM,MANHATTAN,DISMISSED,28,75,46.1,95122,25,,2021-01-09
99-0015,"Charles Boyle",Detective,4,S04E08,MURDER,"STATEN  ISLAND","COLD CASE",43,50,24.3,105273,21,"Cool cool cool cool cool",2017-11-24
99-0018,"Terry Jeffords",Sergeant,5,S05E03,VANDALISM,BRONX,CLOSED,7,36,76.5,0,30,"I am a human person",2014-03-10
99-0020,NULL,Detective,2,S02E03,BURGLARY,BRONX,"COLD CASE",33,93,36.4,104057,40,,2015-06-10
99-0021,"Raymond Holt",Captain,3,S03E17,"GRAND LARCENY",QUEENS,CLOSED,22,9,46.1,55021,61,,2013-12-29
99-0023,"Gina Linetti",Administrator,7,S07E23,ROBBERY,MANHATTAN,DISMISSED,10,71,51.1,NULL,52,,2013-10-07
99-0024,"Norm Scully",Detective,7,S07E07,STALKING,BROOKLYN,OPEN,2,11,45.7,79868,68,,2015-04-15
99-0025,"Terry Jeffords",Sergeant,5,S05E09,"DRUG POSESSION","STATEN  ISLAND","COLD CASE",8,16,62.1,111176,49,,2019-03-13
99-0026,"Terry Jeffords",Sergeant,5,S05E08,ROBERRY,BROOKLYN,CLOSED,2,8,53.7,97137,49,,2015-06-05
99-0028,"Raymond Holt",Captain,7,S07E22,ROBBERY,"STATEN  ISLAND",DISMISSED,32,10,44.7,117785,50,"Cool cool cool cool cool",2015-08-08
99-0029,"Jake Peralta",Detective,5,S05E12,VANDALISM,BRONX,"IN PROGRESS",0,59,64.2,75874,24,,2019-03-23
99-0031,"Raymond Holt",Captain,6,S06E09,ROBBERY,BRONX,DISMISSED,10,18,42.5,NULL,44,,2016-05-13
99-0032,"Amy Santiago",Detective,7,S07E11,MURDER,BROOKLYN,"COLD CASE",46,100,74.6,90454,52,Noice,NULL
99-0033,"Jake Peralta",Detective,1,S01E06,MURDER,MANHATTAN,DISMISSED,30,46,74,NULL,17,"I want to go to there",2017-06-27
99-0034,"Gina Linetti",Administrator,1,S01E09,"DRUG  POSSESSION",BROOKLYN,ONGOING,5,3,62.7,100219,37,,2016-08-03
99-0036,"Jake Peralta",Detective,3,S03E10,ROBBERY,MANHATTAN,"COLD CASE",37,40,23.7,116141,20,,2019-08-21
99-0037,"Terry Jeffords",Sergeant,4,S04E15,MURDER,QUEENS,DISMISSED,48,4,72.5,106439,60,,2015-03-22
99-0039,"Raymond Holt",Captain,4,S04E20,MURDER,QUEENS,DISMISSED,17,53,27.4,107647,26,,2013-11-14
99-0040,"Charles Boyle",Detective,5,S05E17,"GRAND LARCENY","STATEN  ISLAND",DISMISSED,35,59,76,104197,53,,2020-03-16
99-0041,"Raymond Holt",Captain,6,S06E20,VANDALISM,MANHATTAN,"COLD CASE",38,65,41.7,0,44,,2015-09-21
99-0042,"Raymond Holt",Captain,3,S03E07,ARSON,QUEENS,"IN PROGRESS",19,66,21.1,NULL,32,,2018-10-03
99-0043,"Charles Boyle",Detective,7,S07E19,ASSAULT,QUEENS,OPEN,47,0,47.3,94096,35,,2014-05-04
99-0045,"Rosa Diaz",Detective,6,S06E19,BURGLARY,BRONX,DISMISSED,37,93,28.1,NULL,38,,2018-10-10
99-0046,NULL,Detective,8,S08E01,BURGLARY,BRONX,CLOSED,4,82,28.4,80095,52,,2015-03-22
99-0047,"Rosa Diaz",Detective,8,S08E10,"DRUG POSSESSION",BROOKLYN,"COLD CASE",39,100,29.4,59834,73,"I am a human person",2018-03-13
99-0049,"Rosa Diaz",Detective,5,S05E09,MURDER,MANHATTAN,"COLD CASE",12,72,38.6,114159,29,,2013-01-01
99-0050,"Jake Peralta",Detective,3,S03E04,"DRUG POSSESSION","STATEN  ISLAND",OPEN,34,4,76.2,64713,18,,2017-11-26
99-0051,"Amy Santiago",Detective,7,S07E03,FRAUD,"STATEN  ISLAND",OPEN,37,88,58.5,NULL,25,"Title of your sex tape",2016-11-11
99-0053,"Terry Jeffords",Sergeant,8,S08E09,ARSON,BROOKLYN,OPEN,12,99,64.5,113863,21,,2013-12-03
99-0054,NULL,Detective,6,S06E15,MURDER,"STATEN  ISLAND",DISMISSED,26,51,38.5,107957,69,,2015-06-21
